,5,6,3,1,4,0,2,7,FPR_actual,size
0,1184.0,3540.0,1211,305,557,445,166,97030.0,0.00022865395517929001,12500
1,1184.0,3540.0,1211,305,557,445,166,97030.0,0.00018150534398896976,13500
2,97030.0,,1184,397,3540,519,1768,,0.0001402589456039471,14500
3,1184.0,3540.0,1211,305,557,445,166,97030.0,0.00012259480020377917,15500
4,3540.0,97030.0,557,397,1184,519,1211,,0.0001211607411260804,16500
5,3540.0,97030.0,557,397,1184,519,1211,,9.895512185999359e-05,17500
6,97030.0,,1184,397,3540,519,1768,,8.951738515334946e-05,18500
7,3540.0,97030.0,557,397,1184,519,1211,,5.60262100383428e-05,19500
8,1184.0,3540.0,1211,305,557,445,166,97030.0,5.906237538427338e-05,20500
9,1184.0,3540.0,1211,305,557,445,166,97030.0,5.0869272815634826e-05,21500
10,3540.0,97030.0,557,397,1184,519,1211,,3.821530770260349e-05,22500
11,97030.0,,1184,397,3540,519,1768,,4.239435143371602e-05,23500
12,,,3540,2126,97030,558,1184,,7.591760775482929e-05,24500
13,1184.0,3540.0,1211,305,557,445,166,97030.0,4.4859092169422036e-05,25500
